"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
2023-05-23 13:32:30,"MQ","ICB","Blank","14:32:47",1,0.002,0.001,0.001,0.005,0,0.009,0.002,0.001,0.001,0.005,0,0.009,100,""
2023-05-23 13:36:00,"KE","230523_KLA_FB","Raw Water","14:36:00",1,0,0.001,0,0.001,0,0.002,0,0.001,0,0.001,0,0.002,100,""
2023-05-23 13:41:54,"KE","230523_KLA_1","Raw Water","14:41:58",1,1.158,0,2.013,0,0.201,3.171,1.158,0,2.013,0,0.201,3.171,100,""
2023-05-23 13:44:18,"KE","230523_KLA_3","Raw Water","14:44:40",1,0.634,0,1.715,0,0.218,2.349,0.634,0,1.715,0,0.218,2.349,100,""
2023-05-23 13:50:00,"KE","230523_KLA_5","Raw Water","14:50:18",1,1.289,0,2.232,0,0.165,3.521,1.289,0,2.232,0,0.165,3.521,100,""
2023-05-23 13:53:00,"KE","230523_KLA_7","Raw Water","14:53:11",1,1.524,0,2.277,0,0.169,3.801,1.524,0,2.277,0,0.169,3.801,100,""
2023-05-23 13:55:00,"KE","230523_KLA_9","Raw Water","14:55:30",1,0.846,0,1.691,0,0.21,2.537,0.846,0,1.691,0,0.21,2.537,100,""
2023-05-23 14:01:18,"KE","230523_KLA_10","Raw Water","15:01:40",1,0.573,0,1.554,0,0.246,2.127,0.573,0,1.554,0,0.246,2.127,100,""
2023-05-23 14:05:00,"KE","230523_KLA_11","Raw Water","15:05:02",1,1.433,0,2.368,0,0.153,3.801,1.433,0,2.368,0,0.153,3.801,100,"Duplicate"
2023-05-23 14:06:30,"KE","230523_KLA_11","Raw Water","15:06:45",1,1.435,0,2.398,0,0.159,3.833,1.435,0,2.398,0,0.159,3.833,100,"Duplicate"
2023-05-23 14:09:00,"KE","230523_KLA_12","Raw Water","15:09:05",1,1.28,0,2.486,0,0.169,3.766,1.28,0,2.486,0,0.169,3.766,100,""
2023-05-23 14:15:00,"MQ","CCB","Blank","15:15:06",1,0.011,0.003,0,0.001,0.004,0.015,0.011,0.003,0,0.001,0.004,0.015,100,""
