"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"07/11/2023, 14:57:00","MQ","ICB","Blank","14:57:03",1,0.007,0.092,0,0.045,0.04,0.144,0.007,0.092,0,0.045,0.04,0.144,100,""
"07/11/2023, 14:58:24","Owasco","230711_OW_BUOY_S","Raw Water","14:58:41",1,4.625,0,2.971,0.107,0.733,7.703,4.625,0,2.971,0.107,0.733,7.703,100,"Duplicate"
"07/11/2023, 15:00:54","Owasco","230711_OW_BUOY_S","Raw Water","15:00:28",1,4.565,0,3.105,0.104,0.757,7.774,4.565,0,3.105,0.104,0.757,7.774,100,"Duplicate"
"07/11/2023, 15:02:30","Owasco","230711_OW_BUOY_T","Raw Water","15:02:57",1,0.846,0.095,1.35,1.513,1.102,3.804,0.846,0.095,1.35,1.513,1.102,3.804,100,""
"07/11/2023, 15:04:30","Owasco","230711_OW_BUOY_B","Raw Water","15:04:45",1,0,0.146,0.004,0.419,0.867,0.569,0,0.146,0.004,0.419,0.867,0.569,100,""
"07/11/2023, 15:06:18","MQ","CCB","Blank","15:06:41",1,0.013,0.091,0.001,0.005,0,0.11,0.013,0.091,0.001,0.005,0,0.11,100,""
