"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"06/26/2023, 14:12:00","MQ","ICB","Blank","14:12:13",1,0.17,0.044,0,0.036,0.085,0.25,0.17,0.044,0,0.036,0.085,0.25,100,""
"06/26/2023, 14:14:36","Honeoye","230626_HN_7M.S","Raw Water","14:14:49",1,0.242,3.675,0.778,3.766,1.172,8.461,0.242,3.675,0.778,3.766,1.172,8.461,100,"Duplicate"
"06/26/2023, 14:18:00","Honeoye","230626_HN_7M.S","Raw Water","14:18:25",1,0,5.424,0,5.97,1.323,11.394,0,5.424,0,5.97,1.323,11.394,100,"Duplicate"
"06/26/2023, 14:21:18","Honeoye","230626_HN_7M.B","Raw Water","14:21:39",1,0.158,1.866,0,2.593,1.27,4.617,0.158,1.866,0,2.593,1.27,4.617,100,""
"06/26/2023, 14:24:00","Honeoye","230626_HN_9M.S","Raw Water","14:24:30",1,0,9.364,2.007,4.225,1.268,15.596,0,9.364,2.007,4.225,1.268,15.596,100,""
"06/26/2023, 14:27:00","Honeoye","230626_HN_9M.B","Raw Water","14:27:04",1,0.002,0.147,0.619,0.465,1.167,1.233,0.002,0.147,0.619,0.465,1.167,1.233,100,""
"06/26/2023, 14:28:42","MQ","CCB","Blank","14:28:52",1,0,0.005,0,0.006,0,0.011,0,0.005,0,0.006,0,0.011,100,""
