"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"06/21/2023, 03:22:00","MQ","ICB","Blank","15:22:12",1,0,0,0,0,0,0,0,0,0,0,0,0,100,""
"06/21/2023, 03:27:00","Keuka","230621_KLA_01","Raw Water","15:27:14",1,0.049,0,1.149,0,0.215,1.198,0.049,0,1.149,0,0.215,1.198,100,"Duplicate"
"06/21/2023, 03:30:00","Keuka","230621_KLA_01","Raw Water","15:30:13",1,0.037,0,1.144,0,0.221,1.181,0.037,0,1.144,0,0.221,1.181,100,"Duplicate"
"06/21/2023, 03:32:36","Keuka","230621_KLA_02","Raw Water","15:32:50",1,0,0,0.352,0,0.338,0.352,0,0,0.352,0,0.338,0.352,100,""
"06/21/2023, 03:35:00","Keuka","230621_KLA_03","Raw Water","15:35:04",1,0.001,0,1.566,0,0.231,1.567,0.001,0,1.566,0,0.231,1.567,100,""
"06/21/2023, 03:37:48","Keuka","230621_KLA_04","Raw Water","15:37:56",1,0,0,0.463,0.228,0.335,0.691,0,0,0.463,0.228,0.335,0.691,100,""
"06/21/2023, 03:40:00","Keuka","230621_KLA_05","Raw Water","15:40:05",1,0.096,0,1.529,0,0.245,1.625,0.096,0,1.529,0,0.245,1.625,100,""
"06/21/2023, 03:42:00","Keuka","230621_KLA_06","Raw Water","15:42:29",1,0,0,0.556,0.048,0.328,0.604,0,0,0.556,0.048,0.328,0.604,100,""
"06/21/2023, 03:44:48","Keuka","230621_KLA_07","Raw Water","15:44:54",1,0.01,0,1.288,0,0.265,1.298,0.01,0,1.288,0,0.265,1.298,100,""
"06/21/2023, 03:47:00","Keuka","230621_KLA_08","Raw Water","15:47:21",1,0,0,0.521,0.059,0.351,0.58,0,0,0.521,0.059,0.351,0.58,100,""
"06/21/2023, 03:49:00","Keuka","230621_KLA_09","Raw Water","15:49:24",1,0,0,0.764,0,0.255,0.764,0,0,0.764,0,0.255,0.764,100,""
"06/21/2023, 03:52:48","MQ","CCB","Blank","15:52:55",1,0,0,0,0,0,0,0,0,0,0,0,0,100,""
"06/21/2023, 03:54:42","Keuka","230621_KLA_10","Raw Water","15:54:51",1,0,0,1.201,0,0.284,1.201,0,0,1.201,0,0.284,1.201,100,"Duplicate"
"06/21/2023, 03:56:36","Keuka","230621_KLA_10","Raw Water","15:56:49",1,0,0,1.158,0,0.301,1.158,0,0,1.158,0,0.301,1.158,100,"Duplicate"
"06/21/2023, 03:58:42","Keuka","230621_KLA_11","Raw Water","15:58:53",1,0,0,1.034,0,0.334,1.034,0,0,1.034,0,0.334,1.034,100,""
"06/21/2023, 04:01:00","Keuka","230621_KLA_12","Raw Water","16:01:30",1,0,0,0.628,0,0.297,0.628,0,0,0.628,0,0.297,0.628,100,""
"06/21/2023, 04:03:00","Keuka","230621_KLA_FB","Raw Water","16:03:31",1,0,0,0,0,0,0,0,0,0,0,0,0,100,""
"06/21/2023, 04:05:18","MQ","CCB","Blank","16:05:41",1,0,0,0,0,0,0,0,0,0,0,0,0,100,""
