#,Lake info,Sample ID,Type,Start Time ,ml sample,ml MQ,Comments
1,MQ,ICB,Blank,14:57:03,25,0,
2,Owasco,230711_OW_BUOY_S,Raw Water,14:58:41,25,0,Duplicate
3,Owasco,230711_OW_BUOY_S,Raw Water,15:00:28,25,0,Duplicate
4,Owasco,230711_OW_BUOY_T,Raw Water,15:02:57,25,0,
5,Owasco,230711_OW_BUOY_B,Raw Water,15:04:45,25,0,
6,MQ,CCB,Blank,15:06:41,25,0,
,,,,,,,
