#,Lake info,Sample ID,Type,Start Time ,ml sample,ml MQ,Comments
1,MQ,ICB,Blank,14:12:19,25,0,
2,Owasco,230619_MCOW_C2,Raw Water,14:26:13,25,0,
3,Owasco,230619_MCOW_C3,Raw Water,14:32:06,25,0,
4,Owasco,230619_MCOW_C4,Raw Water,14:35:15,25,0,Duplicate
5,Owasco,230619_MCOW_C4,Raw Water,14:37:37,25,0,Duplicate
6,Owasco,230619_MCOW_N1,Raw Water,14:41:13,25,0,
7,Owasco,230619_MCOW_N2,Raw Water,14:43:53,25,0,
8,Owasco,230619_MCOW_N3,Raw Water,14:46:27,25,0,
9,Owasco,230619_MCOW_N4,Raw Water,14:49:30,25,0,
10,Owasco,230619_MCOW_PA1,Raw Water,14:56:08,25,0,
11,Owasco,230619_MCOW_PA2,Raw Water,15:00:19,25,0,
12,Owasco,230619_MCOW_PA3,Raw Water,15:02:37,25,0,
13,MQ,CCB,Blank,15:05:24,25,0,
14,Owasco,230619-MCOW_PA4,Raw Water,15:09:44,25,0,
15,Owasco,230619_MCOW_PB1,Raw Water,15:16:20,25,0,
16,Owasco,230619_MCOW_PB2,Raw Water,15:19:33,25,0,
17,Owasco,230619_MCOW_PB3,Raw Water,15:23:02,25,0,Duplicate
18,Owasco,230619_MCOW_PB3,Raw Water,15:25:53,25,0,Duplicate
19,Owasco,230619_MCOW_PB4,Raw Water,15:28:10,25,0,
20,Owasco,230619_MCOW_PC1,Raw Water,15:36:50,25,0,
21,Owasco,230619_MCOW_PC2,Raw Water,15:39:18,25,0,
22,Owasco,230619_MCOW_PC3,Raw Water,15:41:23,25,0,
23,Owasco,230619_MCOW_PC4,Raw Water,15:47:20,25,0,
24,MQ,CCB,Blank,15:54:44,25,0,
25,Owasco,230619_MCOW_NPA1,Raw Water,15:59:40,25,0,
26,Owasco,230619_MCOW_NPA2,Raw Water,16:03:58,25,0,
27,Owasco,230619_MCOW_NPA3,Raw Water,16:05:53,25,0,
28,Owasco,230619_MCOW_NPA4,Raw Water,16:13:40,25,0,
29,Owasco,230619_MCOW_NPB1,Raw Water,16:19:19,25,0,
30,Owasco,230619_MCOW_NPB2,Raw Water,16:22:12,25,0,Duplicate
31,Owasco,230619_MCOW_NPB2,Raw Water,16:23:56,25,0,Duplicate
32,Owasco,230619_MCOW_NPB3,Raw Water,16:25:38,25,0,
33,Owasco,230619_MCOW_NPB4,Raw Water,16:34:45,25,0,
34,Owasco,230619_MCOW_NPC1,Raw Water,16:37:36,25,0,
35,Owasco,230619_MCOW_NPC2,Raw Water,16:39:51,25,0,
36,MQ,CCB,Blank,16:45:21,25,0,
37,Owasco,230619_MCOW_NPC3,Raw Water,16:47:27,25,0,
38,Owasco,230619_MCOW_NPC4,Raw Water,16:50:01,25,0,Duplicate
39,Owasco,230619_MCOW_NPC4,Raw Water,16:51:13,25,0,Duplicate
40,MQ,CCB,Blank,16:53:15,25,0,
