"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"04/26/2023, 14:09:00","MQ","ICB","Blank","14:09:31",1,0.001,0.016,0,0.025,0.001,0.042,0.001,0.016,0,0.025,0.001,0.042,100,""
"04/26/2023, 14:21:48","KE","230426_KLA_FB","Raw Water","14:21:56",1,0.005,0,0.003,0.001,0.006,0.009,0.005,0,0.003,0.001,0.006,0.009,100,""
"04/26/2023, 14:38:42","KE","230426_KLA_1","Raw Water","14:38:51",1,0.004,0,1.75,0.136,0.384,1.89,0.004,0,1.75,0.136,0.384,1.89,100,""
"04/26/2023, 14:45:36","KE","230426_KLA_3","Raw Water","14:45:49",1,0.108,0,1.711,0,0.375,1.819,0.108,0,1.711,0,0.375,1.819,100,""
"04/26/2023, 14:48:00","KE","230426_KLA_5","Raw Water","14:48:09",1,0,0,2.546,0.271,0.38,2.817,0,0,2.546,0.271,0.38,2.817,100,""
"04/26/2023, 14:50:42","KE","230426_KLA_7","Raw Water","14:50:52",1,0.889,0,2.627,0,0.352,3.516,0.889,0,2.627,0,0.352,3.516,100,""
"04/26/2023, 14:53:00","KE","230426_KLA_9","Raw Water","14:53:12",1,0.083,0,1.38,0.052,0.354,1.515,0.083,0,1.38,0.052,0.354,1.515,100,""
"04/26/2023, 14:57:48","KE","230426_KLA_10","Raw Water","14:57:56",1,0.279,0,1.662,0,0.375,1.941,0.279,0,1.662,0,0.375,1.941,100,""
"04/26/2023, 15:00:00","KE","230426_KLA_11","Raw Water","15:00:06",1,0.155,0,1.568,0.344,0.631,2.067,0.155,0,1.568,0.344,0.631,2.067,100,""
"04/26/2023, 15:02:00","KE","230426_KLA_12","Raw Water","15:02:27",1,0,0,1.429,0.348,0.405,1.777,0,0,1.429,0.348,0.405,1.777,100,"Duplicate"
"04/26/2023, 15:22:36","KE","230426_KLA_12","Raw Water","15:22:49",1,0.003,0,1.814,0.073,0.382,1.89,0.003,0,1.814,0.073,0.382,1.89,100,"Duplicate"
"04/26/2023, 15:25:00","MQ","CCB","Blank","15:25:05",1,0,0,0,0.002,0.005,0.002,0,0,0,0.002,0.005,0.002,100,""
