"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"08/11/2023, 10:35:36","MQ","ICB","Blank","10:35:50",1,0,0,0,0,0.014,0,0,0,0,0,0.014,0,100,""
"08/11/2023, 10:38:00","KE","230807_3700_B01","Raw Water","10:38:18",1,0.081,1.185,2.635,0.504,0.816,4.405,0.081,1.185,2.635,0.504,0.816,4.405,100,"Duplicate"
"08/11/2023, 10:41:24","KE","230807_3700_B01","Raw Water","10:41:44",1,0.079,0.86,2.096,1.327,0.861,4.362,0.079,0.86,2.096,1.327,0.861,4.362,100,"Duplicate"
"08/11/2023, 10:44:00","KE","230807_3700_B02","Raw Water","10:44:09",1,0,0.686,0.262,0.495,0.562,1.443,0,0.686,0.262,0.495,0.562,1.443,100,""
"08/11/2023, 10:47:00","KE","230809_3721_2","Raw Water","10:47:05",1,0,121.305,1.236,3.529,1.79,126.07,0,121.305,1.236,3.529,1.79,126.07,100,""
"08/11/2023, 11:25:00","KE","230809_3721_x25","Raw Water","11:25:20",25,0,1.961,0,0.176,0.051,2.137,0,49.025,0,4.4,1.275,53.425,100,""
"08/11/2023, 13:18:00","MQ","CCB","Raw Water","13:18:25",1,0,0,0,0,0,0,0,0,0,0,0,0,100,""
