"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"08/11/2023, 10:14:30","MQ","ICB","Blank","10:14:48",1,0.079,0,0.031,0,0.003,0.11,0.079,0,0.031,0,0.003,0.11,100,""
"08/11/2023, 10:17:12","KE","230807_3700_B01","Raw Water","10:17:39",1,0.203,1.364,3.486,0,1.117,5.053,0.203,1.364,3.486,0,1.117,5.053,100,"Duplicate"
"08/11/2023, 10:19:18","KE","230807_3700_B01","Raw Water","10:19:42",1,0.263,1.147,2.814,0.364,1.078,4.588,0.263,1.147,2.814,0.364,1.078,4.588,100,"Duplicate"
"08/11/2023, 10:27:00","KE","230807_3700_B02","Raw Water","10:27:08",1,0,1.585,0.469,0.037,0.702,2.091,0,1.585,0.469,0.037,0.702,2.091,100,""
"08/11/2023, 10:29:00","KE","230809_3721_1","Raw Water","10:29:31",1,0,75.649,0.045,0.389,1.552,76.083,0,75.649,0.045,0.389,1.552,76.083,91.839,""
"08/11/2023, 10:33:00","MQ","CCB","Raw Water","10:33:30",1,0.032,0,0.033,0,0,0.065,0.032,0,0.033,0,0,0.065,100,""
"08/11/2023, 10:51:00","KE","230809_3721_2","Raw Water","10:51:28",1,0,111.421,0,1.207,2.141,112.628,0,111.421,0,1.207,2.141,112.628,90.341,""
"08/11/2023, 11:24:00","KE","230809_3721_x25","Raw Water","11:24:04",25,0.01,2.252,0.002,0.034,0.122,2.298,0.25,56.3,0.05,0.85,3.05,57.45,100,""
"08/11/2023, 13:13:18","MQ","CCB","Raw Water","13:13:42",1,0,0,0,0,0.07,0,0,0,0,0,0.07,0,100,""
