"Site","ID","Type","count","Green_Chl","Bluegreen_Chl","Diatom_Chl","Cryptophyte_Chl","Total_Chl"
"Honeoye","230626_HN_7M_S","Raw Water",2,0.12,4.55,0.39,4.87,9.93
"Honeoye","230626_HN_7_B","Raw Water",1,0.16,1.87,0,2.59,4.62
"Honeoye","230626_HN_9M_B","Raw Water",1,0,0.15,0.62,0.47,1.23
"Honeoye","230626_HN_9M_S","Raw Water",1,0,9.36,2.01,4.22,15.6
