"Site","ID","Type","count","Green_Chl","Bluegreen_Chl","Diatom_Chl","Cryptophyte_Chl","Total_Chl"
"KE","230523_KLA_01","Raw Water",1,1.16,0,2.01,0,3.17
"KE","230523_KLA_03","Raw Water",1,0.63,0,1.72,0,2.35
"KE","230523_KLA_05","Raw Water",1,1.29,0,2.23,0,3.52
"KE","230523_KLA_07","Raw Water",1,1.52,0,2.28,0,3.8
"KE","230523_KLA_09","Raw Water",1,0.85,0,1.69,0,2.54
"KE","230523_KLA_10","Raw Water",1,0.57,0,1.55,0,2.13
"KE","230523_KLA_11","Raw Water",2,1.43,0,2.38,0,3.82
"KE","230523_KLA_12","Raw Water",1,1.28,0,2.49,0,3.77
